Exercise,URL,Description
Assisted Reverse Lunge With Blocked Knee,https://vimeo.com/111032901,1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. Only pull on the object in front of you with enough force to stay balanced. 5. Keep your knee tracked straight ahead over your toes.
Band Press-Down,https://vimeo.com/111033314,1. Keep your shoulder blades squeezed backward and down. 2. Press down without letting your shoulders pop forward during the press. 3. Keep your abs tight and your ribs pulled down so that your ribs don't flare out as you return upward.
Band Pull-Apart,https://vimeo.com/111033315,1. Keep your shoulder blades pulled downward away from your ears throughout the movement. 2. Let your shoulder blades spread apart with your hands in front of your body. 3. Finish the rep by squeezing your shoulder blades together as you pull the band apart.
Band Stomp,https://vimeo.com/111033318,1. Keep your ribs down and abs braced so that your lower back doesn't arch. 2. Bring your knee up to your chest. 3. Press the band downward and lock your glute out without arching your back or letting your ribs flare out.
Band-Assisted Chin-Up,https://vimeo.com/111033322,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Band-Assisted Inverted Row,https://vimeo.com/111033323,1. Fully extend your arms and let your shoulder blades spread apart at the bottom. 2. Pull the bar to the lower part of your ribcage. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Band-Assisted Neutral-Grip Pull-Up,https://vimeo.com/111033878,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Band-Assisted Pull-Up,https://vimeo.com/111033880,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Band-Assisted Pushup,https://vimeo.com/111033881,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Band-Resisted Ab Wheel Iso,https://vimeo.com/111033883,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.
Band-Resisted Glute Bridge,https://vimeo.com/111033887,1. Keep your ribs pulled down and your abs tight so that your lower back doesn't arch. 2. Drive through your heels and raise your hips upward. 3. Keep your tailbone tucked between your knees to align your pelvis and spine.
Band-Resisted Goblet Squat,https://vimeo.com/111035086,"1. Set up tightly in the bottom position with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Band-Resisted Pull-Up,https://vimeo.com/111035089,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Band-Resisted Pushup,https://vimeo.com/111035090,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Band-Resisted Ring Pushup,https://vimeo.com/111035093,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Band-Resisted Scapular Pushup,https://vimeo.com/111035094,"1. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 2 Squeeze your shoulder blades together and down at the bottom. 3. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Band-Resisted Squat,https://vimeo.com/111035492,1. Lock your ribs down with your abs. 2. Keep your feet straight ahead. 3. Tuck yor tailbone and squat straight down. 4. Keep your knees straight out over your toes.
Banded Curl,https://vimeo.com/111035494,1. Curl the band without letting your shoulders pop forward. 2. Don't arch your lower back.
Banded External Rotation at 30 Degrees Abduction,https://vimeo.com/111035497,1. Keep your shoulder blade pulled inward and down towards your back pockets. 2. Move only from the upper arm.
Banded External Rotation at 90 Degrees Abduction,https://vimeo.com/111035498,1. Keep your shoulder blade pulled inward and down towards your back pockets. 2. Move only from the upper arm.
Banded Face Pull,https://vimeo.com/111035500,1. Let your shoulder blades spread apart when your arms are forward. 2. Pull the band towards your face and finish with your thumbs pointed upward and your shoulder blades squeezed together and downward. 3. Don't arch your back or let your ribs flare out during the movement.
Banded Hip Extension,https://vimeo.com/111036342,1. Keep your ribs pulled down and abs tightly braced to keep your lower back from arching. 2. Push your hips back until you get a light stretch in your hamstrings. 3. Return upward and lock your hips out while tucking your tailbone downward between your knees. 4. Don't let your lower back arch during the movement.
Banded No Money,https://vimeo.com/111036343,1. Keep your abs tight and your ribs down so that your back doesn't arch. 2. Bring your hands together with your palms up. 3. Pull the band apart and finish by squeezing your shoulder blades together and downward.
Banded Pull-Down,https://vimeo.com/111036344,1. Fully extend your arms and let your shoulder blades spread at the start. 2. Pull your hands to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Banded Scapular Protraction,https://vimeo.com/111036345,"1. Start with your shoulder blades shrugged downward and squeezed together. 2. While keeping your shoulder blades down away from your ears, spread them apart as far as you can."
Barbell Back Squat,https://vimeo.com/111036346,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Barbell Bench Press,https://vimeo.com/111040669,"1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Barbell Bench Press From Pins,https://vimeo.com/111040671,"1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Barbell Box Squat,https://vimeo.com/111040672,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Push your hips back to the box with your weight on your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Barbell Curl,https://vimeo.com/111040674,1. Curl the weight without letting your shoulders pop forward. 2. Don't arch your lower back.
Barbell Deadlift,https://vimeo.com/111040676,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower to the bar while pushing your hips back and loading a light stretch into your hamstrings. 3. Keep your weight on your heels, your feet straight forward, your knees straight over your little toes and abs braced. 4. Pull upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels. 5. Keep your abs locked and ribs down at the top."
Barbell Floor Press,https://vimeo.com/111043103,1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Press upward.
Barbell Front Squat,https://vimeo.com/111043107,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Barbell Front Squat Iso,https://vimeo.com/111043110,1. Keep your abs tightly braced in order to keep your ribs down. 2. Hold the position with good bracing so that your lower back doesn't arch.
Barbell Front Squat to Box,https://vimeo.com/111043112,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Put only 50% of your weight on the box and then squat upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Barbell Glute Bridge,https://vimeo.com/111043114,1. Keep your ribs pulled down and your abs tight so that your lower back doesn't arch. 2. Drive through your heels and raise your hips upward. 3. Keep your tailbone tucked between your knees to align your pelvis and spine.
Barbell Hip Thrust,https://vimeo.com/111043384,1. Keep your ribs pulled down and your abs tight so that your lower back doesn't arch. 2. Drive through your heels and raise your hips upward. 3. Keep your tailbone tucked between your knees to align your pelvis and spine.
Barbell Overhead Shrug,https://vimeo.com/111043386,1. Keep your abs tightly braced and your ribs down so that your back doesn't arch. 2. Shrug the bar upward.
Barbell Push Press,https://vimeo.com/111043389,1. Keep your abs tight and ribs pulled down to stabilize your spine. 2. Dip your knees slightly while keeping your weight on your heels and drive upward. 3. Use the momentum to assist as you lock the bar overhead without arching your back.
Barbell Reverse Lunge,https://vimeo.com/111043390,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Barbell Reverse Lunge With a Front Squat Grip,https://vimeo.com/111043391,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Barbell Romanian Deadlift,https://vimeo.com/111043979,1. Keep your ribs pulled down and abs tightly braced to keep your lower back from arching. 2. Push your hips back until you get a light stretch in your hamstrings. 3. Return upward and lock your hips out while tucking your tailbone downward between your knees. 4. Don't let your lower back arch during the movement.
Barbell Slideboard Reverse Lunge,https://vimeo.com/111043980,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Barbell Split Squat,https://vimeo.com/111043982,1. Lock your ribs down with your abs. 2. Keep your pelvis square. 3. Keep your weight through your forward heel. 4. Forward knee and bottom knee should be at 90 degrees at the bottom.
Barbell Sumo Deadlift,https://vimeo.com/111043984,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower to the bar while pushing your hips back and loading a light stretch into your hamstrings. 3. Keep your weight on your heels, your knees straight over your toes and abs braced. 4. Pull upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels. 5. Keep your abs locked and ribs down at the top."
Bear Crawl,https://vimeo.com/111043986,1. Move in a reciprocal pattern so that your right arm is moving back as your right leg is moving forward and vice versa.
Bent-Over Dumbbell Row,https://vimeo.com/111048714,"1. Keep your ribs down and abs tight so that you don't arch your lower back too much. 2. Pull the weight back, finishing with your shoulder blade locked inward and down. 3. Don't let your shoulder capsule shift forward at the finish of the movement. 4. Let your shoulder blade stretch forward as you lower the weight."
Bird Dog,https://vimeo.com/111048715,"1. This is a reciprocal movement, so the left arm and right leg move at once, and vice versa. 2. While kneeling on all-fours, exhale fully and feel your oblique abs lock your ribs down. 3. Keep your abs tightly braced to hold this ribs-down position and tuck your tailbone under. 4. While holding this position, reach your arm straight forward and your opposite leg straight behind you. 5. Keep your abs tight and do not let your ribs flare or arch your lower back as you lock out your shoulder blade and opposite-side glute."
Bodyweight Cross-Over Step-Up,https://vimeo.com/111048717,1. Keep your ribs down and don't arch your back as you're moving. 2. Step across your body while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back.
Bodyweight Get-Up,https://vimeo.com/111048719,"1. Keep your arm vertical throughout the movement, and keep your eyes on your hand. 2. Move from elbow, to your hand, to a bridge position. 3. Move to your knee. 4. ""Windshield wiper"" your leg underneath to a lunge position. 5. With your weight on your forward heel and your ribs down, stand up to the top of the lunge. 6. ""Ski"" your trailing foot back and reverse the movement to return to the ground."
Bodyweight Lateral Lunge With Assistance,https://vimeo.com/111048721,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can.
Bodyweight Lateral Squat,https://vimeo.com/111051113,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can.
Bodyweight Reverse Lunge With Blocked Knee,https://vimeo.com/111051114,1. Block your knee so that it doesn't track forward past the middle of your foot. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Bodyweight Split Squat With Blocked Knee,https://vimeo.com/111051116,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Bodyweight Squat Thrust,https://vimeo.com/111051117,1. Squat down with your heels on the ground. 2. Squat up while keeping your heels down and your abs braced. 3. Don't arch your lower back at the top.
Bodyweight Squat to Box,https://vimeo.com/111051119,1. Lock your ribs down with your abs. 2. Keep your feet straight ahead. 3. Push your hips back onto the box. 4. Keep your knees straight out over your toes.
Bodyweight Step-Up,https://vimeo.com/111052875,1. Keep your ribs down and don't arch your back as you're moving. 2. Step onto the box while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back. 5. Keep your knee tracking straight over your toes the whole time - don't let it collapse inward.
Bowler Squat,https://vimeo.com/111052877,"1. Keep your weight rooted through your heel, your ribs down and have a slight bend in your knee. 2. Hinge forward at the hips by pushing your hips back until you feel a light stretch in your hamstring. 3. Keep your hips level - Don't roll them open. 4. At the bottom, reach across the centerline of your body towards the toes on your opposite foot. 5. Return without arching your back or flaring your ribs out."
Brady Band Series,https://vimeo.com/111052878,"1. This is four separate movements, each done for reps. 2. Focus on keeping your abs braced and your ribs down throughout the movements."
Brady Band Series - Without Band,https://vimeo.com/111052880,"1. This is four separate movements, each done for reps. 2. Focus on keeping your abs braced and your ribs down throughout the movements."
Burpee,https://vimeo.com/111052882,"1. Squat down with your feet straight forward, your heels on the ground and your knees tracking over your toes. 2. Jump back to a plank position, and land with your abs braced and without arching your back. 3. Drop into the pushup while keeping your tailbone tucked under and squeezing your shoulder blades together and down to your back pockets. 4. Finish the pushup and jump back to the squat position with your heels on the ground, knees straight forward and feet straight. 5. Jump upward and drop down to repeat."
Burpee Without Pushup,https://vimeo.com/111053597,"1. Squat down with your feet straight forward, your heels on the ground and your knees tracking over your toes. 2. Jump back to a plank position, and land with your abs braced and without arching your back. 3. Keep your ribs down and your tailbone tucked under while in the plank position to keep your lower back from arching. 4. Jump back to the squat position with your heels on the ground, knees straight forward and feet straight. 5. Jump upward and drop down to repeat."
Cable External Rotation at 30 Degrees Abduction,https://vimeo.com/111053600,1. Keep your shoulder blade packed inward and down toward your back pockets. 2 Rotate your arm while moving from the upper arm only. 3. Don't let your shoulder capsule shift forward during the movement.
Cable External Rotation at 90 Degrees Abduction,https://vimeo.com/111053606,1. Keep your shoulder blade packed inward and down toward your back pockets. 2 Rotate your arm while moving from the upper arm only. 3. Don't let your shoulder capsule shift forward during the movement.
Cable External Rotation on Knee,https://vimeo.com/111053608,1. Keep your shoulder blade packed inward and down toward your back pockets. 2 Rotate your arm while moving from the upper arm only. 3. Don't let your shoulder capsule shift forward during the movement.
Cable Pull-Down,https://vimeo.com/111053610,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Chest-Supported Dumbbell Row,https://vimeo.com/111054631,"1. Keep your ribs down, abs tight and tailbone tucked between your knees. 2. Pull the weights back, finishing with your shoulder blade locked inward and down. 3. Don't let your shoulder capsule shift forward at the finish of the movement."
Chest-Supported Dumbbell Row Iso,https://vimeo.com/111054632,"1. Keep your ribs down, abs tight and tailbone tucked between your knees. 2. Pull the weights back, finishing with your shoulder blade locked inward and down. 3. Don't let your shoulder capsule shift forward at the finish of the movement."
Chin-Up,https://vimeo.com/111054636,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Close-Grip Barbell Bench Press,https://vimeo.com/111054638,"1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Close-Grip Pushup,https://vimeo.com/111054640,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Cross-Body Lat Mobilization,https://vimeo.com/111109108,1. Keep your abs braced and your ribs down so that your back doesn't arch during the movement. 2. Cross your body to the side until you feel a stretch in the side of your torso.
Dead Bug,https://vimeo.com/111109110,1. Pull your ribs downward with your abs and hold them there. 2. Roll the front of your pelvis towards your ribs. 3. Press your lower back into the floor. 4. Don't lose that position as you move your arms and legs.
Dead Bug With Legs Only,https://vimeo.com/111109112,1. Pull your ribs downward with your abs and hold them there. 2. Roll the front of your pelvis towards your ribs. 3. Press your lower back into the floor. 4. Don't lose that position as you move your legs.
Deep Neck Flexor Activation and Suboccipital Stretch,https://vimeo.com/111113500,"1. With your upper back and the back of your head against the wall, keep your teeth together and tuck your chin back as if giving yourself double chins. 2. You should feel the deep muscles in your neck activate and a light stretch in the base of your skull."
Deep Squat Wall Stretch,https://vimeo.com/111109114,1. Keep your hips against the wall. 2. Keep your feet straight ahead. 3. Drive your knees outward.
Dragon Flag,https://vimeo.com/111114451,1. Exhale completely while tucking your tailbone under so that your ribs lock downward as far as they'll go. 2. Inhale partially while maintaing tightly braced abs in order to keep your ribs down. 3. Keep your tailbone tucked under and the front of your pelvis pulled towards your chest as you lift off the bench. 4. Do not let your lower back arch at all.
Dumbbell 1 1/4 Full Squat,https://vimeo.com/111113502,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4. Once you're 1/4 of the way up, drop back down to the bottom before squatting all the way up."
Dumbbell Bench Press,https://vimeo.com/111113503,"1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Dumbbell Cross-Over Step-Up,https://vimeo.com/111113509,1. Keep your ribs down and don't arch your back as you're moving. 2. Step across your body while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back.
Dumbbell Curl,https://vimeo.com/111113510,1. Curl the weight without letting your shoulders pop forward. 2. Don't arch your lower back.
Dumbbell External Rotation on Knee,https://vimeo.com/111114453,1. Keep your shoulder blade packed inward and down toward your back pockets. 2 Rotate your arm while moving from the upper arm only. 3. Don't let your shoulder capsule shift forward during the movement.
Dumbbell Floor Press,https://vimeo.com/111114454,"1. Keep your shoulder blades packed tightly together and down at the bottom of each rep. 2. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Dumbbell Flye EQI,https://vimeo.com/111114458,1. Keep your lower back pressed into the bench and your abs braced in order to pull your ribs down. 2. Pack your shoulder blades together and down toward your back pockets. 3. Slowly lower the dumbbells and keep your chest muscles active as they gradually stretch out your chest muscles. 4. Roll your fingers open and drop the dumbbells when you're done.
Dumbbell Full Squat,https://vimeo.com/111114459,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels."
Dumbbell Hammer Curl,https://vimeo.com/111117181,1. Curl the weight without letting your shoulders pop forward. 2. Don't arch your lower back.
Dumbbell Overhead Shrug,https://vimeo.com/111117184,1. Keep your abs tightly braced and your ribs down so that your back doesn't arch. 2. Shrug the weights upward.
Dumbbell Push Press,https://vimeo.com/111117185,1. Keep your abs tight and ribs pulled down to stabilize your spine. 2. Dip your knees slightly while keeping your weight on your heels and drive upward. 3. Use the momentum to assist as you lock the weights overhead without arching your back.
Dumbbell Reverse Lunge,https://vimeo.com/111117186,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Dumbbell Reverse Lunge From Deficit,https://vimeo.com/111121970,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Dumbbell Reverse Lunge to Romanian Deadlift,https://vimeo.com/111121972,"1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes. 6. After the lunge, hinge forward at the hips by pushing your hips back without rolling them open. 7. Keep your ribs down and don't arch your back. 8. Stop when you get a slight stretch in your hamstring, then return to the start."
Dumbbell Reverse Lunge With Blocked Knee,https://vimeo.com/111121973,1. Block your knee so that it doesn't track forward past the middle of your foot. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Dumbbell Romanian Deadlift,https://vimeo.com/111121974,1. Keep your ribs pulled down and abs tightly braced to keep your lower back from arching. 2. Push your hips back until you get a light stretch in your hamstrings. 3. Return upward and lock your hips out while tucking your tailbone downward between your knees. 4. Don't let your lower back arch during the movement.
Dumbbell Slideboard Reverse Lunge,https://vimeo.com/111121975,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Dumbbell Split Squat,https://vimeo.com/111125509,1. Lock your ribs down with your abs. 2. Keep your pelvis square. 3. Keep your weight through your forward heel. 4. Forward knee and bottom knee should be at 90 degrees at the bottom.
Dumbbell Squat Thrust,https://vimeo.com/111125510,"1. Squat down with your feet straight forward, your heels on the ground and your knees tracking over your toes. 2. Squat upward while pressing the weights overhead. 3. Keep your ribs down and your abs tight so that your lower back doesn't arch when the weights are overhead."
Dumbbell Step-Up,https://vimeo.com/111125511,1. Keep your ribs down and don't arch your back as you're moving. 2. Step onto the box while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back. 5. Keep your knee tracking straight over your toes the whole time - don't let it collapse inward.
Dumbbell Sumo Deadlift,https://vimeo.com/111125512,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower to the dumbbell while pushing your hips back and loading a light stretch into your hamstrings. 3. Keep your weight on your heels, your feet straight forward, your knees straight over your toes and abs braced. 4. Pull upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels. 5. Keep your abs locked and ribs down at the top."
Dynamic Blackburn,https://vimeo.com/111125514,1. Keep your tailbone tucked under and your ribs pulled down so that your lower back doesn't arch. 2. Keep your head and neck neutral and don't arch your neck. 3. Move from the shoulder blades and go from having your palms together while overhead to having your palms up while behind your back.
